Invoice ID,Date,Branch,City,Customer Type,Gender,Product,Category,Quantity,Unit Price,Payment,Rating,Sales,Month,Month_Name,DayOfWeek
INV0019,2026-07-01,C,Mumbai,Member,Male,Milk,Dairy,4,55.78,UPI,4.3,223.12,2026-07,Jul 2026,Wednesday
INV0020,2026-06-21,B,Delhi,Member,Male,Rice,Grocery,6,74.54,Card,4.0,447.24,2026-06,Jun 2026,Sunday
INV0021,2026-01-25,B,Delhi,Normal,Female,Cold Drink,Beverages,4,65.79,Cash,3.2,263.16,2026-01,Jan 2026,Sunday
INV0022,2026-01-16,D,Bengaluru,Normal,Male,Coffee,Beverages,8,177.8,UPI,3.8,1422.4,2026-01,Jan 2026,Friday
INV0023,2026-02-16,C,Mumbai,Member,Male,Shampoo,Personal Care,4,172.76,Net Banking,3.6,691.04,2026-02,Feb 2026,Monday
INV0024,2026-03-02,B,Delhi,Member,Male,Rice,Grocery,9,69.36,UPI,3.3,624.24,2026-03,Mar 2026,Monday
INV0025,2026-01-01,D,Bengaluru,Normal,Male,Tomato,Vegetables,7,42.94,Net Banking,5.0,300.58,2026-01,Jan 2026,Thursday
INV0026,2026-02-18,C,Mumbai,Normal,Female,Potato,Vegetables,9,33.8,Cash,3.6,304.2,2026-02,Feb 2026,Wednesday
INV0027,2026-05-30,A,Jaipur,Normal,Male,Cold Drink,Beverages,1,67.45,UPI,4.0,67.45,2026-05,May 2026,Saturday
INV0028,2026-06-22,B,Delhi,Normal,Male,Bread,Bakery,2,42.95,UPI,4.7,85.9,2026-06,Jun 2026,Monday
INV0029,2026-04-18,D,Bengaluru,Member,Male,Shampoo,Personal Care,10,192.72,UPI,4.3,1927.2,2026-04,Apr 2026,Saturday
INV0030,2026-06-21,C,Mumbai,Member,Female,Face Wash,Personal Care,6,114.32,Cash,4.3,685.92,2026-06,Jun 2026,Sunday
INV0031,2026-05-18,D,Bengaluru,Member,Male,Tea,Beverages,2,128.24,UPI,3.4,256.48,2026-05,May 2026,Monday
INV0032,2026-02-10,C,Mumbai,Normal,Female,Biscuits,Snacks,2,32.08,Card,3.9,64.16,2026-02,Feb 2026,Tuesday
INV0033,2026-02-04,C,Mumbai,Member,Female,Chips,Snacks,9,37.71,UPI,3.5,339.39,2026-02,Feb 2026,Wednesday
INV0034,2026-06-25,A,Jaipur,Normal,Female,Noodles,Grocery,5,51.97,Cash,4.3,259.85,2026-06,Jun 2026,Thursday
INV0035,2026-01-12,C,Mumbai,Member,Female,Cheese,Dairy,1,219.6,Card,3.0,219.6,2026-01,Jan 2026,Monday
INV0036,2026-01-29,B,Delhi,Member,Female,Face Wash,Personal Care,8,113.5,UPI,3.2,908.0,2026-01,Jan 2026,Thursday
INV0037,2026-02-02,B,Delhi,Member,Male,Noodles,Grocery,6,50.92,Net Banking,3.1,305.52,2026-02,Feb 2026,Monday
INV0038,2026-05-24,C,Mumbai,Normal,Male,Bread,Bakery,4,42.55,Card,4.8,170.2,2026-05,May 2026,Sunday
INV0039,2026-01-07,D,Bengaluru,Normal,Male,Chips,Snacks,4,36.4,Net Banking,3.4,145.6,2026-01,Jan 2026,Wednesday
INV0040,2026-01-10,C,Mumbai,Member,Male,Bananas,Fruits,4,62.9,Net Banking,4.7,251.6,2026-01,Jan 2026,Saturday
INV0041,2026-01-07,B,Delhi,Member,Male,Chocolate,Snacks,8,52.53,Cash,4.3,420.24,2026-01,Jan 2026,Wednesday
INV0042,2026-06-14,D,Bengaluru,Normal,Female,Tea,Beverages,2,115.75,Card,4.0,231.5,2026-06,Jun 2026,Sunday
INV0043,2026-01-28,C,Mumbai,Member,Female,Milk,Dairy,5,51.62,UPI,4.2,258.1,2026-01,Jan 2026,Wednesday
INV0044,2026-01-12,C,Mumbai,Member,Male,Tea,Beverages,9,118.78,Card,4.4,1069.02,2026-01,Jan 2026,Monday
INV0045,2026-04-21,A,Jaipur,Normal,Male,Cheese,Dairy,9,234.98,Card,3.1,2114.82,2026-04,Apr 2026,Tuesday
INV0046,2026-06-20,C,Mumbai,Normal,Female,Chips,Snacks,2,33.96,Card,3.8,67.92,2026-06,Jun 2026,Saturday
INV0047,2026-06-07,D,Bengaluru,Member,Female,Soap,Personal Care,4,45.39,Cash,4.1,181.56,2026-06,Jun 2026,Sunday
INV0048,2026-04-30,D,Bengaluru,Member,Female,Noodles,Grocery,5,57.94,Card,3.9,289.7,2026-04,Apr 2026,Thursday
INV0049,2026-01-24,B,Delhi,Normal,Female,Cheese,Dairy,3,219.06,Card,4.6,657.18,2026-01,Jan 2026,Saturday
INV0050,2026-05-02,B,Delhi,Member,Male,Soap,Personal Care,4,43.02,Cash,4.2,172.08,2026-05,May 2026,Saturday
INV0051,2026-04-13,A,Jaipur,Member,Female,Potato,Vegetables,10,34.52,Net Banking,3.5,345.2,2026-04,Apr 2026,Monday
INV0052,2026-05-23,A,Jaipur,Member,Female,Shampoo,Personal Care,4,188.02,UPI,3.5,752.08,2026-05,May 2026,Saturday
INV0053,2026-06-06,A,Jaipur,Normal,Female,Potato,Vegetables,8,32.95,Net Banking,4.6,263.6,2026-06,Jun 2026,Saturday
INV0054,2026-03-08,D,Bengaluru,Normal,Female,Noodles,Grocery,3,54.52,Net Banking,4.5,163.56,2026-03,Mar 2026,Sunday
INV0055,2026-03-02,C,Mumbai,Member,Male,Cheese,Dairy,4,219.46,Card,3.5,877.84,2026-03,Mar 2026,Monday
INV0056,2026-01-17,C,Mumbai,Member,Male,Noodles,Grocery,3,51.31,Cash,3.8,153.93,2026-01,Jan 2026,Saturday
INV0057,2026-05-30,C,Mumbai,Member,Female,Noodles,Grocery,1,54.7,Net Banking,4.9,54.7,2026-05,May 2026,Saturday
INV0058,2026-04-18,A,Jaipur,Normal,Female,Cold Drink,Beverages,1,63.76,Net Banking,4.1,63.76,2026-04,Apr 2026,Saturday
INV0059,2026-06-21,B,Delhi,Member,Female,Tomato,Vegetables,7,42.98,Card,4.4,300.86,2026-06,Jun 2026,Sunday
INV0060,2026-06-01,D,Bengaluru,Normal,Male,Cooking Oil,Grocery,3,158.17,Net Banking,4.1,474.51,2026-06,Jun 2026,Monday
INV0061,2026-03-08,A,Jaipur,Normal,Male,Rice,Grocery,3,71.6,UPI,3.8,214.8,2026-03,Mar 2026,Sunday
INV0062,2026-01-21,B,Delhi,Member,Female,Potato,Vegetables,7,34.03,Card,3.9,238.21,2026-01,Jan 2026,Wednesday
INV0063,2026-03-05,A,Jaipur,Normal,Male,Coffee,Beverages,2,172.06,UPI,3.4,344.12,2026-03,Mar 2026,Thursday
INV0064,2026-04-30,A,Jaipur,Member,Male,Chips,Snacks,3,33.05,Cash,4.4,99.15,2026-04,Apr 2026,Thursday
INV0065,2026-01-28,C,Mumbai,Normal,Male,Cooking Oil,Grocery,2,152.54,Card,4.2,305.08,2026-01,Jan 2026,Wednesday
INV0066,2026-06-01,C,Mumbai,Member,Male,Cold Drink,Beverages,7,66.84,UPI,4.4,467.88,2026-06,Jun 2026,Monday
INV0067,2026-03-30,B,Delhi,Normal,Male,Shampoo,Personal Care,5,185.68,UPI,4.1,928.4,2026-03,Mar 2026,Monday
INV0068,2026-01-28,C,Mumbai,Member,Female,Rice,Grocery,6,70.07,Net Banking,3.9,420.42,2026-01,Jan 2026,Wednesday
INV0069,2026-04-30,C,Mumbai,Member,Female,Potato,Vegetables,7,36.16,Net Banking,3.9,253.12,2026-04,Apr 2026,Thursday
INV0070,2026-04-29,C,Mumbai,Member,Female,Tea,Beverages,2,126.75,Cash,4.1,253.5,2026-04,Apr 2026,Wednesday
INV0071,2026-03-08,D,Bengaluru,Member,Male,Tea,Beverages,6,110.95,Card,3.7,665.7,2026-03,Mar 2026,Sunday
INV0072,2026-05-23,C,Mumbai,Member,Female,Noodles,Grocery,4,50.69,Net Banking,4.5,202.76,2026-05,May 2026,Saturday
INV0073,2026-06-27,D,Bengaluru,Member,Male,Tomato,Vegetables,1,44.63,Net Banking,3.5,44.63,2026-06,Jun 2026,Saturday
INV0074,2026-06-29,C,Mumbai,Member,Female,Tomato,Vegetables,6,45.39,Card,3.9,272.34,2026-06,Jun 2026,Monday
INV0075,2026-02-25,C,Mumbai,Member,Male,Face Wash,Personal Care,4,114.83,Cash,4.5,459.32,2026-02,Feb 2026,Wednesday
INV0076,2026-03-17,C,Mumbai,Member,Male,Cold Drink,Beverages,9,69.96,Cash,3.5,629.64,2026-03,Mar 2026,Tuesday
INV0077,2026-05-22,B,Delhi,Member,Male,Soap,Personal Care,9,41.5,UPI,3.6,373.5,2026-05,May 2026,Friday
INV0078,2026-04-23,B,Delhi,Member,Female,Tomato,Vegetables,1,42.14,Net Banking,3.7,42.14,2026-04,Apr 2026,Thursday
INV0079,2026-05-06,A,Jaipur,Member,Male,Face Wash,Personal Care,8,128.47,Net Banking,3.1,1027.76,2026-05,May 2026,Wednesday
INV0080,2026-01-31,A,Jaipur,Normal,Male,Biscuits,Snacks,10,28.32,Cash,4.1,283.2,2026-01,Jan 2026,Saturday
INV0081,2026-04-24,D,Bengaluru,Member,Female,Chips,Snacks,10,35.54,Net Banking,3.6,355.4,2026-04,Apr 2026,Friday
INV0082,2026-06-10,D,Bengaluru,Normal,Male,Soap,Personal Care,1,45.49,Cash,3.4,45.49,2026-06,Jun 2026,Wednesday
INV0083,2026-04-26,A,Jaipur,Member,Male,Cooking Oil,Grocery,9,143.76,Net Banking,4.4,1293.84,2026-04,Apr 2026,Sunday
INV0084,2026-06-25,D,Bengaluru,Normal,Female,Soap,Personal Care,5,41.64,UPI,3.5,208.2,2026-06,Jun 2026,Thursday
INV0085,2026-03-10,C,Mumbai,Member,Male,Cold Drink,Beverages,4,66.68,Cash,4.7,266.72,2026-03,Mar 2026,Tuesday
INV0086,2026-02-01,A,Jaipur,Member,Female,Bread,Bakery,5,37.86,Net Banking,3.9,189.3,2026-02,Feb 2026,Sunday
INV0087,2026-06-03,C,Mumbai,Member,Female,Apples,Fruits,9,149.92,UPI,3.1,1349.28,2026-06,Jun 2026,Wednesday
INV0088,2026-05-28,D,Bengaluru,Member,Male,Tea,Beverages,1,121.99,Card,3.1,121.99,2026-05,May 2026,Thursday
INV0089,2026-06-12,B,Delhi,Normal,Male,Tomato,Vegetables,8,45.14,Net Banking,4.6,361.12,2026-06,Jun 2026,Friday
INV0090,2026-03-26,A,Jaipur,Member,Male,Tomato,Vegetables,6,43.91,Cash,3.8,263.46,2026-03,Mar 2026,Thursday
INV0091,2026-01-23,D,Bengaluru,Normal,Male,Soap,Personal Care,7,46.17,Net Banking,3.6,323.19,2026-01,Jan 2026,Friday
INV0092,2026-04-16,C,Mumbai,Normal,Male,Shampoo,Personal Care,7,193.54,Net Banking,3.1,1354.78,2026-04,Apr 2026,Thursday
INV0093,2026-05-21,C,Mumbai,Normal,Male,Chips,Snacks,8,36.44,Card,3.3,291.52,2026-05,May 2026,Thursday
INV0094,2026-03-21,C,Mumbai,Member,Male,Potato,Vegetables,8,37.13,Cash,4.1,297.04,2026-03,Mar 2026,Saturday
INV0095,2026-05-08,D,Bengaluru,Member,Male,Rice,Grocery,2,66.92,Cash,4.9,133.84,2026-05,May 2026,Friday
INV0096,2026-04-27,C,Mumbai,Normal,Female,Cheese,Dairy,7,227.23,Cash,4.1,1590.61,2026-04,Apr 2026,Monday
INV0097,2026-03-12,D,Bengaluru,Normal,Male,Chocolate,Snacks,9,53.37,UPI,4.5,480.33,2026-03,Mar 2026,Thursday
INV0098,2026-03-18,D,Bengaluru,Member,Male,Tea,Beverages,9,128.34,Card,4.7,1155.06,2026-03,Mar 2026,Wednesday
INV0099,2026-03-24,D,Bengaluru,Member,Female,Biscuits,Snacks,8,29.74,Net Banking,4.7,237.92,2026-03,Mar 2026,Tuesday
INV0100,2026-04-09,B,Delhi,Member,Female,Cold Drink,Beverages,7,63.78,Net Banking,5.0,446.46,2026-04,Apr 2026,Thursday
INV0101,2026-04-23,B,Delhi,Member,Female,Tomato,Vegetables,3,48.35,UPI,3.2,145.05,2026-04,Apr 2026,Thursday
INV0102,2026-05-01,D,Bengaluru,Normal,Male,Milk,Dairy,7,56.96,UPI,4.6,398.72,2026-05,May 2026,Friday
INV0103,2026-03-23,C,Mumbai,Normal,Female,Tea,Beverages,7,122.37,Net Banking,4.3,856.59,2026-03,Mar 2026,Monday
INV0104,2026-01-24,D,Bengaluru,Member,Female,Noodles,Grocery,2,50.92,Cash,3.9,101.84,2026-01,Jan 2026,Saturday
INV0105,2026-01-15,A,Jaipur,Normal,Male,Shampoo,Personal Care,5,178.38,Card,3.6,891.9,2026-01,Jan 2026,Thursday
INV0106,2026-02-14,C,Mumbai,Member,Male,Bananas,Fruits,9,56.6,Cash,3.2,509.4,2026-02,Feb 2026,Saturday
INV0107,2026-04-29,D,Bengaluru,Normal,Male,Chips,Snacks,8,36.03,Cash,4.3,288.24,2026-04,Apr 2026,Wednesday
INV0108,2026-04-24,D,Bengaluru,Normal,Male,Face Wash,Personal Care,8,123.2,UPI,4.9,985.6,2026-04,Apr 2026,Friday
INV0109,2026-05-04,C,Mumbai,Normal,Male,Bananas,Fruits,8,61.83,Net Banking,3.2,494.64,2026-05,May 2026,Monday
INV0110,2026-06-18,D,Bengaluru,Normal,Female,Cold Drink,Beverages,5,63.53,UPI,3.8,317.65,2026-06,Jun 2026,Thursday
INV0111,2026-02-28,A,Jaipur,Normal,Female,Cold Drink,Beverages,1,68.8,Card,4.2,68.8,2026-02,Feb 2026,Saturday
INV0112,2026-06-10,C,Mumbai,Member,Male,Eggs,Dairy,10,91.97,UPI,4.3,919.7,2026-06,Jun 2026,Wednesday
INV0113,2026-03-25,C,Mumbai,Normal,Male,Potato,Vegetables,6,32.39,Card,4.5,194.34,2026-03,Mar 2026,Wednesday
INV0114,2026-02-12,B,Delhi,Normal,Female,Chocolate,Snacks,9,47.06,Card,3.5,423.54,2026-02,Feb 2026,Thursday
INV0115,2026-02-06,D,Bengaluru,Normal,Female,Soap,Personal Care,6,46.78,UPI,4.5,280.68,2026-02,Feb 2026,Friday
INV0116,2026-03-09,B,Delhi,Member,Female,Apples,Fruits,9,150.47,UPI,4.1,1354.23,2026-03,Mar 2026,Monday
INV0117,2026-06-22,D,Bengaluru,Member,Female,Coffee,Beverages,5,184.98,UPI,3.5,924.9,2026-06,Jun 2026,Monday
INV0118,2026-06-12,A,Jaipur,Member,Male,Chips,Snacks,9,37.15,UPI,4.6,334.35,2026-06,Jun 2026,Friday
INV0119,2026-01-30,C,Mumbai,Normal,Female,Bananas,Fruits,1,56.32,Net Banking,3.2,56.32,2026-01,Jan 2026,Friday
INV0120,2026-06-17,B,Delhi,Member,Male,Apples,Fruits,9,138.96,Net Banking,3.2,1250.64,2026-06,Jun 2026,Wednesday
INV0121,2026-04-24,D,Bengaluru,Member,Female,Chips,Snacks,5,34.49,Cash,3.9,172.45,2026-04,Apr 2026,Friday
INV0122,2026-04-12,B,Delhi,Member,Female,Coffee,Beverages,6,168.46,UPI,3.6,1010.76,2026-04,Apr 2026,Sunday
INV0123,2026-03-27,A,Jaipur,Normal,Male,Potato,Vegetables,4,32.71,UPI,3.5,130.84,2026-03,Mar 2026,Friday
INV0124,2026-03-26,B,Delhi,Member,Male,Cold Drink,Beverages,9,61.93,Cash,4.5,557.37,2026-03,Mar 2026,Thursday
INV0125,2026-01-29,A,Jaipur,Normal,Female,Face Wash,Personal Care,3,126.88,Cash,4.3,380.64,2026-01,Jan 2026,Thursday
INV0126,2026-03-09,A,Jaipur,Member,Male,Biscuits,Snacks,4,27.67,Cash,3.1,110.68,2026-03,Mar 2026,Monday
INV0127,2026-04-26,D,Bengaluru,Member,Female,Cheese,Dairy,2,206.4,UPI,4.0,412.8,2026-04,Apr 2026,Sunday
INV0128,2026-04-20,A,Jaipur,Member,Female,Cheese,Dairy,1,213.02,Net Banking,4.4,213.02,2026-04,Apr 2026,Monday
INV0129,2026-02-02,D,Bengaluru,Member,Male,Potato,Vegetables,2,32.61,UPI,3.6,65.22,2026-02,Feb 2026,Monday
INV0130,2026-06-29,C,Mumbai,Member,Female,Apples,Fruits,9,151.08,UPI,3.2,1359.72,2026-06,Jun 2026,Monday
INV0131,2026-04-17,B,Delhi,Member,Female,Bananas,Fruits,4,59.53,Net Banking,4.5,238.12,2026-04,Apr 2026,Friday
INV0132,2026-01-18,C,Mumbai,Member,Male,Bananas,Fruits,5,58.2,Net Banking,3.2,291.0,2026-01,Jan 2026,Sunday
INV0133,2026-06-21,A,Jaipur,Normal,Male,Rice,Grocery,6,69.24,Card,3.2,415.44,2026-06,Jun 2026,Sunday
INV0134,2026-01-27,C,Mumbai,Normal,Female,Bananas,Fruits,1,63.53,Card,4.2,63.53,2026-01,Jan 2026,Tuesday
INV0135,2026-01-30,B,Delhi,Normal,Female,Biscuits,Snacks,4,30.75,Card,4.5,123.0,2026-01,Jan 2026,Friday
INV0136,2026-01-08,B,Delhi,Normal,Male,Bananas,Fruits,10,63.31,Card,3.4,633.1,2026-01,Jan 2026,Thursday
INV0137,2026-02-06,C,Mumbai,Normal,Female,Tea,Beverages,3,117.14,UPI,4.5,351.42,2026-02,Feb 2026,Friday
INV0138,2026-02-10,A,Jaipur,Member,Female,Rice,Grocery,4,72.76,Card,3.7,291.04,2026-02,Feb 2026,Tuesday
INV0139,2026-03-11,C,Mumbai,Member,Male,Cold Drink,Beverages,1,66.0,UPI,3.9,66.0,2026-03,Mar 2026,Wednesday
INV0140,2026-04-21,D,Bengaluru,Member,Male,Tomato,Vegetables,7,45.77,Card,3.2,320.39,2026-04,Apr 2026,Tuesday
INV0141,2026-02-22,D,Bengaluru,Member,Male,Cheese,Dairy,1,225.88,UPI,3.6,225.88,2026-02,Feb 2026,Sunday
INV0142,2026-04-21,B,Delhi,Member,Male,Biscuits,Snacks,5,31.27,Net Banking,3.4,156.35,2026-04,Apr 2026,Tuesday
INV0143,2026-04-12,D,Bengaluru,Member,Female,Noodles,Grocery,9,56.79,UPI,4.7,511.11,2026-04,Apr 2026,Sunday
INV0144,2026-07-01,A,Jaipur,Normal,Female,Bananas,Fruits,2,55.38,Net Banking,4.3,110.76,2026-07,Jul 2026,Wednesday
INV0145,2026-01-23,C,Mumbai,Member,Female,Shampoo,Personal Care,6,177.26,Card,3.9,1063.56,2026-01,Jan 2026,Friday
INV0146,2026-03-28,A,Jaipur,Member,Female,Eggs,Dairy,7,89.07,Card,3.4,623.49,2026-03,Mar 2026,Saturday
INV0147,2026-03-31,B,Delhi,Member,Male,Rice,Grocery,2,70.12,Card,4.5,140.24,2026-03,Mar 2026,Tuesday
INV0148,2026-02-15,B,Delhi,Member,Male,Eggs,Dairy,5,84.28,UPI,4.9,421.4,2026-02,Feb 2026,Sunday
INV0149,2026-02-08,D,Bengaluru,Member,Female,Potato,Vegetables,10,36.42,Card,3.9,364.2,2026-02,Feb 2026,Sunday
INV0150,2026-03-21,D,Bengaluru,Member,Female,Potato,Vegetables,5,35.74,UPI,3.9,178.7,2026-03,Mar 2026,Saturday
INV0151,2026-04-29,A,Jaipur,Member,Male,Bread,Bakery,5,39.16,Net Banking,4.2,195.8,2026-04,Apr 2026,Wednesday
INV0152,2026-05-09,A,Jaipur,Normal,Female,Potato,Vegetables,10,37.29,Net Banking,3.3,372.9,2026-05,May 2026,Saturday
INV0153,2026-01-11,A,Jaipur,Normal,Male,Potato,Vegetables,6,32.78,Cash,3.5,196.68,2026-01,Jan 2026,Sunday
INV0154,2026-04-10,D,Bengaluru,Member,Female,Potato,Vegetables,10,35.13,Card,3.8,351.3,2026-04,Apr 2026,Friday
INV0155,2026-03-14,C,Mumbai,Member,Male,Chips,Snacks,6,32.49,Net Banking,3.5,194.94,2026-03,Mar 2026,Saturday
INV0156,2026-02-03,B,Delhi,Normal,Female,Tea,Beverages,3,111.96,Net Banking,4.2,335.88,2026-02,Feb 2026,Tuesday
INV0157,2026-05-11,A,Jaipur,Normal,Male,Soap,Personal Care,6,45.42,Net Banking,3.7,272.52,2026-05,May 2026,Monday
INV0158,2026-02-27,C,Mumbai,Member,Female,Soap,Personal Care,4,42.7,Cash,5.0,170.8,2026-02,Feb 2026,Friday
INV0159,2026-06-08,B,Delhi,Member,Male,Rice,Grocery,2,67.71,Card,3.3,135.42,2026-06,Jun 2026,Monday
INV0160,2026-01-12,D,Bengaluru,Normal,Male,Biscuits,Snacks,10,28.38,Net Banking,3.8,283.8,2026-01,Jan 2026,Monday
INV0161,2026-05-01,B,Delhi,Member,Male,Potato,Vegetables,8,35.62,Card,4.8,284.96,2026-05,May 2026,Friday
INV0162,2026-04-08,B,Delhi,Normal,Female,Coffee,Beverages,10,185.14,Card,4.0,1851.4,2026-04,Apr 2026,Wednesday
INV0163,2026-06-14,D,Bengaluru,Member,Female,Cooking Oil,Grocery,10,157.61,UPI,4.0,1576.1,2026-06,Jun 2026,Sunday
INV0164,2026-02-11,C,Mumbai,Normal,Female,Noodles,Grocery,9,58.82,UPI,3.5,529.38,2026-02,Feb 2026,Wednesday
INV0165,2026-04-17,B,Delhi,Normal,Female,Bananas,Fruits,4,56.08,UPI,3.1,224.32,2026-04,Apr 2026,Friday
INV0166,2026-01-26,C,Mumbai,Member,Male,Eggs,Dairy,2,88.36,Card,4.7,176.72,2026-01,Jan 2026,Monday
INV0167,2026-06-30,C,Mumbai,Normal,Female,Biscuits,Snacks,5,28.26,Cash,3.9,141.3,2026-06,Jun 2026,Tuesday
INV0168,2026-03-15,A,Jaipur,Normal,Female,Rice,Grocery,4,64.61,UPI,3.5,258.44,2026-03,Mar 2026,Sunday
INV0169,2026-06-02,A,Jaipur,Member,Male,Bread,Bakery,10,38.33,Net Banking,4.1,383.3,2026-06,Jun 2026,Tuesday
INV0170,2026-02-17,B,Delhi,Normal,Male,Biscuits,Snacks,1,29.0,Net Banking,4.3,29.0,2026-02,Feb 2026,Tuesday
INV0171,2026-05-01,A,Jaipur,Normal,Male,Cheese,Dairy,2,236.71,Net Banking,3.1,473.42,2026-05,May 2026,Friday
INV0172,2026-03-03,D,Bengaluru,Member,Male,Coffee,Beverages,1,172.91,Card,4.5,172.91,2026-03,Mar 2026,Tuesday
INV0173,2026-06-14,A,Jaipur,Member,Female,Cold Drink,Beverages,6,67.45,Card,3.4,404.7,2026-06,Jun 2026,Sunday
INV0174,2026-03-17,D,Bengaluru,Member,Female,Tomato,Vegetables,3,45.95,UPI,3.4,137.85,2026-03,Mar 2026,Tuesday
INV0175,2026-01-10,B,Delhi,Member,Female,Bread,Bakery,5,38.82,Card,4.5,194.1,2026-01,Jan 2026,Saturday
INV0176,2026-02-01,B,Delhi,Normal,Female,Soap,Personal Care,1,43.97,Card,4.6,43.97,2026-02,Feb 2026,Sunday
INV0177,2026-06-27,D,Bengaluru,Member,Male,Apples,Fruits,7,145.45,Net Banking,4.0,1018.15,2026-06,Jun 2026,Saturday
INV0178,2026-03-24,C,Mumbai,Member,Male,Rice,Grocery,2,72.54,Card,3.2,145.08,2026-03,Mar 2026,Tuesday
INV0179,2026-03-31,C,Mumbai,Normal,Male,Soap,Personal Care,10,43.61,Net Banking,3.9,436.1,2026-03,Mar 2026,Tuesday
INV0180,2026-06-21,C,Mumbai,Normal,Male,Chips,Snacks,5,37.79,UPI,4.3,188.95,2026-06,Jun 2026,Sunday
INV0181,2026-01-09,C,Mumbai,Normal,Male,Cheese,Dairy,3,230.6,Net Banking,3.3,691.8,2026-01,Jan 2026,Friday
INV0182,2026-04-05,B,Delhi,Member,Male,Coffee,Beverages,10,176.03,Net Banking,3.7,1760.3,2026-04,Apr 2026,Sunday
INV0183,2026-01-30,A,Jaipur,Member,Female,Cold Drink,Beverages,6,61.23,Cash,3.1,367.38,2026-01,Jan 2026,Friday
INV0184,2026-02-24,B,Delhi,Member,Female,Tomato,Vegetables,9,45.13,Net Banking,5.0,406.17,2026-02,Feb 2026,Tuesday
INV0185,2026-04-24,C,Mumbai,Normal,Female,Tomato,Vegetables,3,42.84,Cash,5.0,128.52,2026-04,Apr 2026,Friday
INV0186,2026-07-01,C,Mumbai,Member,Female,Coffee,Beverages,9,186.03,Cash,4.9,1674.27,2026-07,Jul 2026,Wednesday
INV0187,2026-05-07,B,Delhi,Normal,Male,Coffee,Beverages,2,180.25,Cash,3.1,360.5,2026-05,May 2026,Thursday
INV0188,2026-03-21,C,Mumbai,Member,Male,Potato,Vegetables,9,36.7,UPI,3.8,330.3,2026-03,Mar 2026,Saturday
INV0189,2026-03-23,D,Bengaluru,Normal,Male,Cheese,Dairy,7,216.86,Cash,4.3,1518.02,2026-03,Mar 2026,Monday
INV0190,2026-04-21,D,Bengaluru,Member,Male,Potato,Vegetables,6,36.01,Cash,4.0,216.06,2026-04,Apr 2026,Tuesday
INV0191,2026-03-30,A,Jaipur,Member,Female,Shampoo,Personal Care,5,180.52,Cash,4.9,902.6,2026-03,Mar 2026,Monday
INV0192,2026-05-09,C,Mumbai,Member,Female,Rice,Grocery,9,67.21,UPI,4.3,604.89,2026-05,May 2026,Saturday
INV0193,2026-01-21,B,Delhi,Member,Male,Cooking Oil,Grocery,10,153.81,UPI,3.1,1538.1,2026-01,Jan 2026,Wednesday
